code,name,road-length,year
W06000015,cardiff,675.9,2018
W06000016,rhondda cynon taf,751.0,2018
W06000024,merthyr tydfil,216.4,2018
W06000018,caerphilly,630.5,2018
W06000019,blaenau gwent,260.6,2018
W06000020,torfaen,297.5,2018
W06000021,monmouthshire,1010.1,2018
W06000022,newport,466.6,2018
S12000033,aberdeen city,628.4,2018
S12000034,aberdeenshire,3876.4,2018
S12000041,angus,1200.3,2018
S12000035,argyll & bute,1690.7,2018
S12000005,clackmannanshire,195.3,2018
S12000006,dumfries and galloway,2920.7,2018
S12000042,dundee city,380.2,2018
S12000008,east ayrshire,828.9,2018
S12000045,east dunbartonshire,339.5,2018
S12000010,east lothian,687.7,2018
S12000011,east renfrewshire,323.0,2018
S12000036,"edinburgh, city of",963.8,2018
S12000013,eilean siar,796.7,2018
S12000014,falkirk,606.2,2018
S12000047,fife,1746.3,2018
S12000046,glasgow city,1180.5,2018
S12000017,highland,4976.5,2018
S12000018,inverclyde,259.1,2018
S12000019,midlothian,427.3,2018
S12000020,moray,1108.6,2018
S12000021,north ayrshire,715.2,2018
S12000044,north lanarkshire,1085.3,2018
S12000023,orkney islands,659.0,2018
S12000048,perth and kinross,1836.5,2018
S12000038,renfrewshire,596.5,2018
S12000026,scottish borders,2041.3,2018
S12000027,shetland islands,643.7,2018
S12000028,south ayrshire,821.2,2018
S12000029,south lanarkshire,1574.9,2018
S12000030,stirling,745.8,2018
S12000039,west dunbartonshire,261.9,2018
S12000040,west lothian,730.8,2018
E06000047,county durham ua,2313.5,2017
E06000005,darlington ua,342.6,2017
E06000001,hartlepool ua,253.2,2017
E06000002,middlesbrough ua,322.6,2017
E06000057,northumberland ua ,3207.5,2017
E06000003,redcar and cleveland ua,423.9,2017
E06000004,stockton-on-tees ua,544.3,2017
E08000037,gateshead,565.1,2017
E08000021,newcastle upon tyne,609.6,2017
E08000022,north tyneside,498.6,2017
E08000023,south tyneside,350.8,2017
E08000024,sunderland,717.8,2017
E06000008,blackburn with darwen ua,342.2,2017
E06000009,blackpool ua,281.2,2017
E06000049,cheshire east ua,1788.6,2017
E06000050,cheshire west and chester ua,1507.6,2017
E06000006,halton ua,364.6,2017
E06000007,warrington ua,619.3,2017
E10000006,cumbria ,5021.2,2017
E08000001,bolton,616.7,2017
E08000002,bury,424.8,2017
E08000003,manchester,857.0,2017
E08000004,oldham ,511.0,2017
E08000005,rochdale,491.1,2017
E08000006,salford,499.8,2017
E08000007,stockport,615.7,2017
E08000008,tameside,477.0,2017
E08000009,trafford,498.7,2017
E08000010,wigan,717.3,2017
E10000017,lancashire ,4356.6,2017
E08000011,knowsley ,361.4,2017
E08000012,liverpool,891.9,2017
E08000014,sefton,616.8,2017
E08000013,st. helens,458.3,2017
E08000015,wirral,763.3,2017
E06000011,east riding of yorkshire ua,2160.8,2017
E06000010,"kingston upon hull, city of ua",471.0,2017
E06000012,north east lincolnshire ua,404.5,2017
E06000013,north lincolnshire ua,882.7,2017
E06000014,york ua,505.3,2017
E10000023,north yorkshire ,5735.8,2017
E08000016,barnsley,755.5,2017
E08000017,doncaster,1045.1,2017
E08000018,rotherham ,759.5,2017
E08000019,sheffield,1227.3,2017
E08000032,bradford,1211.9,2017
E08000033,calderdale,720.4,2017
E08000034,kirklees ,1197.7,2017
E08000035,leeds,1894.6,2017
E08000036,wakefield,973.3,2017
E06000015,derby ua,477.2,2017
E06000016,leicester ua,520.2,2017
E06000018,nottingham ua,499.9,2017
E06000017,rutland ua,347.3,2017
E10000007,derbyshire ,3511.5,2017
E10000018,leicestershire ,2871.1,2017
E10000019,lincolnshire,5562.6,2017
E10000021,northamptonshire,2880.4,2017
E10000024,nottinghamshire ,3020.5,2017
E06000019,"herefordshire, county of ua",2081.1,2017
E06000051,shropshire ua,3228.3,2017
E06000021,stoke-on-trent ua,544.8,2017
E06000020,telford and wrekin ua,656.8,2017
E10000028,staffordshire ,3950.3,2017
E10000031,warwickshire,2606.0,2017
E08000025,birmingham,1589.7,2017
E08000026,coventry,565.8,2017
E08000027,dudley ,637.8,2017
E08000028,sandwell ,556.4,2017
E08000029,solihull,542.0,2017
E08000030,walsall,540.0,2017
E08000031,wolverhampton,480.4,2017
E10000034,worcestershire ,2647.4,2017
E06000055,bedford ua ,578.2,2017
E06000056,central bedfordshire ua ,945.7,2017
E06000032,luton ua,285.8,2017
E06000031,peterborough ua,596.9,2017
E06000033,southend-on-sea ua,286.0,2017
E06000034,thurrock ua,370.0,2017
E10000003,cambridgeshire ,2982.3,2017
E10000012,essex ,5124.7,2017
E10000015,hertfordshire,3111.4,2017
E10000020,norfolk,6231.6,2017
E10000029,suffolk,4374.2,2017
E09000007,camden,175.6,2017
E09000001,city of london,34.3,2017
E09000012,hackney,172.2,2017
E09000013,hammersmith and fulham,137.2,2017
E09000014,haringey,221.6,2017
E09000019,islington,147.9,2017
E09000020,kensington and chelsea,127.3,2017
E09000022,lambeth,238.0,2017
E09000023,lewisham,283.9,2017
E09000025,newham,265.2,2017
E09000028,southwark,244.4,2017
E09000030,tower hamlets,177.2,2017
E09000032,wandsworth,271.8,2017
E09000033,westminster,211.1,2017
E09000002,barking and dagenham,211.5,2017
E09000003,barnet,474.0,2017
E09000004,bexley,348.0,2017
E09000005,brent,302.8,2017
E09000006,bromley,563.1,2017
E09000008,croydon,483.5,2017
E09000009,ealing,365.2,2017
E09000010,enfield,398.0,2017
E09000011,greenwich,312.3,2017
E09000015,harrow,294.6,2017
E09000016,havering,410.5,2017
E09000017,hillingdon,470.8,2017
E09000018,hounslow,310.3,2017
E09000021,kingston upon thames,214.2,2017
E09000024,merton,233.9,2017
E09000026,redbridge,331.2,2017
E09000027,richmond upon thames,257.9,2017
E09000029,sutton,268.6,2017
E09000031,waltham forest,264.4,2017
E06000036,bracknell forest ua,289.8,2017
E06000043,brighton and hove ua,388.6,2017
E06000046,isle of wight ua,547.8,2017
E06000035,medway ua,532.0,2017
E06000042,milton keynes ua,791.6,2017
E06000044,portsmouth ua,284.0,2017
E06000038,reading ua,249.5,2017
E06000039,slough ua,199.0,2017
E06000045,southampton ua,360.8,2017
E06000037,west berkshire ua,882.0,2017
E06000040,windsor and maidenhead ua,427.8,2017
E06000041,wokingham ua,471.9,2017
E10000002,buckinghamshire ,2052.1,2017
E10000011,east sussex ,2119.2,2017
E10000014,hampshire ,5556.2,2017
